"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"78",1987,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0343639779244397,0.00955130845120111,0.0119381288342063,0.0223768069581371,0.0521486602524864,0.0929257243449512,0.110572214242135,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"79",1988,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0305595227549706,0.00878409591172019,0.0108225849659069,0.0200197323770805,0.0455884434927553,0.0806157816686243,0.0977516209212256,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"80",1989,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0385807024499098,0.0117839066927864,0.0142399482642321,0.0258513324851157,0.0569198787247095,0.0972001285657387,0.115972117949313,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"81",1990,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.037066674845637,0.0118242654259496,0.0143279941768382,0.0251321649236499,0.0543646367793195,0.0917073123779518,0.107646837528104,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"82",1991,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0392825072592955,0.0130092373085332,0.0155082950506246,0.026853183936318,0.0575063121368899,0.0954247850896116,0.112519191184204,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"83",1992,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0421603995887771,0.0138773191791398,0.0169223792860708,0.0291076402113998,0.0603308794499537,0.100522055470864,0.120019856381098,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"84",1993,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0454853076238547,0.015874617926859,0.018928904760904,0.0318499473464803,0.0639614840890426,0.102658121797977,0.124316755365037,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"85",1994,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0425963299651232,0.0155366930721945,0.0179780298277568,0.0302052790274803,0.0600111110899211,0.0958124438848526,0.114438934431756,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"86",1995,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0490981138541327,0.0182433439952006,0.0212280422469321,0.0349269769251507,0.0688111407225754,0.110350792386603,0.132115128785124,0,3,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"87",1996,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0558247255126607,0.0211754892924693,0.0244959504327445,0.0399316342209549,0.077593124890264,0.124318643976101,0.146010920087353,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"88",1997,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0490665369977666,0.0186142177834629,0.0219856708915709,0.0354859526748543,0.068399601808205,0.108499053495272,0.12642191798688,0,3,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"89",1998,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0380295663067277,0.0145417658000686,0.0169978086966165,0.0272842467738836,0.0529730680209454,0.0840153154653611,0.0974971765994268,0,4,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"90",1999,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0315146517632622,0.0120785300315173,0.0140193539547276,0.0224382274796734,0.0439749619250815,0.0692146693771366,0.0812597307761552,0,4,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
